,country,name,full_name,isin,currency,symbol
100,argentina,General Electric DRC,General Electric Co DRC,ARDEUT110160,ARS,GE
101,argentina,Yamana Gold DRC,Yamana Gold Inc DRC,ARDEUT115375,ARS,AUY
102,argentina,HP DRC,HP Inc DRC,ARDEUT110194,ARS,HPQ
103,argentina,Toyota DRC,Toyota Motor Corporation DRC,ARDEUT112083,ARS,TM
104,argentina,PepsiCo DRC,PepsiCo Inc DRC,ARDEUT111416,ARS,PEP
105,argentina,PetroChina Co DRC,PetroChina Co DRC,ARDEUT113958,ARS,PTR
106,argentina,China Mobile CEDEAR,China Mobile Ltd CEDEAR,ARDEUT111812,ARS,CHL
107,argentina,Nike DRC,Nike Inc DRC,ARDEUT111341,ARS,NKE
108,argentina,Procter & Gamble DRC,Procter & Gamble DRC,ARDEUT110335,ARS,PG
109,argentina,Vale DRC,Vale,ARDEUT113925,ARS,VALE
110,argentina,Gazprom OAO DRC,Gazprom OAO DRC,ARDEUT114261,ARS,OGZD
111,argentina,Barrick Gold DRC,Barrick Gold DRC,ARDEUT112562,ARS,GOLD
112,argentina,Banco Bradesco DRC,Banco Bradesco DRC,ARDEUT116001,ARS,BBD
113,argentina,Ovoprot Int SA,Ovoprot International SA,AROVOP010038,ARS,OVOP
114,argentina,Bodegas Esmeralda,Bodegas Esmeralda SA,ARESME010022,ARS,ESME
115,argentina,AIG,American International Group Inc,ARDEUT110640,ARS,AIG
116,argentina,PETROBRAS PN,Petroleo Brasileiro SA PN,BRPETRACNPR6,ARS,APBRA
117,argentina,American Express DRC,American Express Co DRC,ARDEUT110046,ARS,AXP
118,argentina,Bancontander Brasil,Banco Santander Brasil SA,ARDEUT115995,ARS,BSBR
119,argentina,Artefactos Domesticos,Domec Compania de Artefactos Domesticos SAIC y F,ARP3577N1097,ARS,DOME
120,argentina,Alphabet A,Alphabet Inc BA,ARDEUT116159,ARS,GOOGL
121,argentina,Honda Motor Co DRC,Honda Motor Co DRC,ARDEUT112950,ARS,HMC
122,argentina,Compania Introductora de BA,Compania Introductora de Buenos Aires SA,ARP577611352,ARS,INTR
123,argentina,Coca-Cola DRC,Coca Cola Co DRC,ARDEUT110111,ARS,KO
124,argentina,Lockheed Martin DRC,Lockheed Martin Corp DRC,ARDEUT111200,ARS,LMT
125,argentina,MercadoLibre DRC,MercadoLibre Inc DRC,ARDEUT116175,ARS,MELI
126,argentina,Bancontander Rio Pref,Banco Santander Rio SA Pref,ARBRIO010475,ARS,BRIO6
127,argentina,TGLT,TGLT SA,ARTGLT010015,ARS,TGLT
128,argentina,Ternium DRC,Ternium SA DRC,ARDEUT116019,ARS,TXR
129,argentina,Grupo Supervielle,Grupo Supervielle S.A. B,ARGRSU300079,ARS,SUPV
130,argentina,Havanna,Havanna Holding SA,ARHAVH300038,ARS,HAVA
131,argentina,Phoenix Resources,Phoenix Global Resources PLC,GB00B7LHJ340,ARS,PGR
132,argentina,Emdersa,Empresa Distribuidora Electrica Regional SA,AREDER010016,ARS,EMDE
133,argentina,Insumos Agroquimicos,Insumos Agroquimicos SA,ARINAG010041,ARS,INAG
134,argentina,Meranol,Meranol SACI,ARMERA010027,ARS,MERA
135,argentina,BYMA,Bolsas y Mercados Argentinos SA,ARBYMA300018,ARS,BYMA
136,argentina,Molinos Agro,Molinos Agro SA,ARMOAG300023,ARS,MOLA
137,argentina,Cablevision,Cablevision Holding SA,ARCABH300011,ARS,CVH
138,argentina,Grupo Valores,Grupo Financiero Valores Sociedad Anonima,ARP6479Z1046,ARS,VALO
139,argentina,Loma Negra,Loma Negra Compania Industrial Argentina SA,ARLOMA300018,ARS,LOMA
140,argentina,Loma Negra,Loma Negra Compania Industrial Argentina SA,ARLOMA300018,ARS,LOMAh
141,argentina,Laboratorios Richmond,Laboratorios Richmond SACIF,ARLRIC300027,ARS,RICH
142,argentina,EDESAL,EDESAL Holding SA,AREDHO010016,ARS,EDLH
143,argentina,Edesa,Edesa Holding SA,AREDEH010018,ARS,EDSH
144,argentina,Amazon.com,Amazon.com Inc,ARBCOM460176,ARS,AMZN
145,argentina,Arcos Dorados,Arcos Dorados Holdings Inc,ARBCOM460135,ARS,ARCO
146,argentina,Alibaba Cedear,Alibaba Group Holding Ltd,ARBCOM4601T8,USD,BABA
147,argentina,Gerdau DRC,Gerdau SA,ARBCOM460200,USD,GGB
148,argentina,BRF,BRF SA,ARBCOM460218,USD,BRFS
149,argentina,Ternium Argentina,Ternium Argentina SA,ARBCOM4602B4,ARS,SID
150,brazil,ABC BRASIL PN,Banco ABC Brasil SA,BRABCBACNPR4,BRL,ABCB4
151,brazil,BRASILAGRO ON,BrasilAgro - Co ON NM,BRAGROACNOR7,BRL,AGRO3
152,brazil,RUMO ON NM,RUMO Logistica Operadora Multimodal SA,BRRAILACNOR9,BRL,RAIL3
153,brazil,ALPARGATAS ON,Alpargatas SA,BRALPAACNOR0,BRL,ALPA3
154,brazil,ALPARGATAS PN,Alpargatas SA,BRALPAACNPR7,BRL,ALPA4
155,brazil,Aliansce Sonae,Aliansce Sonae Shopping Centers SA,BRALSOACNOR5,BRL,ALSO3
156,brazil,LOJAS MARISA ON,Marisa Lojas SA,BRAMARACNOR4,BRL,AMAR3
157,brazil,AMBEV S/A ON,Ambev SA,BRABEVACNOR1,BRL,ABEV3
158,brazil,Advanced Digital Health,Advanced Digital Health Medicina Preventiva SA,BRADHMACNOR9,BRL,ADHM3
159,brazil,AREZZO CO ON,Arezzo Industria e Comercio SA,BRARZZACNOR3,BRL,ARZZ3
160,brazil,BRASIL ON,Banco do Brasil SA,BRBBASACNOR3,BRL,BBAS3
161,brazil,BRADESCO ON,Banco Bradesco SA,BRBBDCACNOR1,BRL,BBDC3
