V1,link,ticker,market,parentid,fullname,source,code,updates,date,updated,URL,ticker
"http://s.cafef.vn/hastc/ADC-cong-ty-co-phan-mi-thuat-va-truyen-thong.chn,CenterName:HNX,Symbol:ADC,TradeCenterID:2,ChangePrice:5.0279329608938665,VonHoa:74.7851968,ChangeVolume:5.2631578947368425,EPS:2.85602566079494,PE:6.5825739096361,Beta:-0.0965706219380553,Price:18.8,UpdatedDate:\/Date(1671780312384)\/,FullName:Cong ty Co phan Mi thuat va Truyen thong,ParentCategoryId:346},",hastc/ADC-cong-ty-co-phan-mi-thuat-va-truyen-thong.chn,ADC,HNX,346,Cong ty Co phan Mi thuat va Truyen thong,CAF,STKVNADC,2022-12-30,2022-12-29,,https://s.cafef.vn/hastc/ADC-cong-ty-co-phan-mi-thuat-va-truyen-thong.chn,
"http://s.cafef.vn/hose/ADG-cong-ty-co-phan-clever-group.chn,CenterName:HSX,Symbol:ADG,TradeCenterID:1,ChangePrice:-4.6312178387650009,VonHoa:594.3784838,ChangeVolume:-100,EPS:1.92583606981528,PE:14.4352888782826,Beta:0,Price:27.8,UpdatedDate:\/Date(1671780312384)\/,FullName:Cong ty co phan Clever Group,ParentCategoryId:346},",hose/ADG-cong-ty-co-phan-clever-group.chn,ADG,HSX,346,Cong ty co phan Clever Group,CAF,STKVNADG,2022-12-30,2022-12-29,,https://s.cafef.vn/hose/ADG-cong-ty-co-phan-clever-group.chn,
"http://s.cafef.vn/upcom/ADP-cong-ty-co-phan-son-a-dong.chn,CenterName:UpCom,Symbol:ADP,TradeCenterID:9,ChangePrice:-11.180124223602487,VonHoa:329.4701553,ChangeVolume:-100,EPS:1.68015170536328,PE:8.51113619939937,Beta:-0.183489594363052,Price:14.3,UpdatedDate:\/Date(1671780312384)\/,FullName:Cong ty Co phan Son A Đong,ParentCategoryId:344},",upcom/ADP-cong-ty-co-phan-son-a-dong.chn,ADP,UPC,344,Cong ty Co phan Son A Đong,CAF,STKVNADP,2022-12-30,2022-12-29,,https://s.cafef.vn/upcom/ADP-cong-ty-co-phan-son-a-dong.chn,
"http://s.cafef.vn/hose/ADS-cong-ty-co-phan-damsan.chn,CenterName:HSX,Symbol:ADS,TradeCenterID:1,ChangePrice:-3.8095238095238129,VonHoa:442.1682434,ChangeVolume:-46.989287033616549,EPS:1.94113625318323,PE:5.20313810194274,Beta:0,Price:10.1,UpdatedDate:\/Date(1671780312384)\/,FullName:Cong ty co phan Damsan,ParentCategoryId:339},",hose/ADS-cong-ty-co-phan-damsan.chn,ADS,HSX,339,Cong ty co phan Damsan,CAF,STKVNADS,2022-12-30,2022-12-29,,https://s.cafef.vn/hose/ADS-cong-ty-co-phan-damsan.chn,
"http://s.cafef.vn/upcom/AFX-cong-ty-co-phan-xuat-nhap-khau-nong-san-thuc-pham-an-giang.chn,CenterName:UpCom,Symbol:AFX,TradeCenterID:9,ChangePrice:-2.4193548387096833,VonHoa:490.078072,ChangeVolume:-66.83233593670758,EPS:1.22328566298452,PE:9.89139361813405,Beta:0,Price:12.1,UpdatedDate:\/Date(1671780312384)\/,FullName:Cong ty Co phan Xuat nhap khau Nong san Thuc pham An Giang,ParentCategoryId:338},",upcom/AFX-cong-ty-co-phan-xuat-nhap-khau-nong-san-thuc-pham-an-giang.chn,AFX,UPC,338,Cong ty Co phan Xuat nhap khau Nong san Thuc pham An Giang,CAF,STKVNAFX,2022-12-30,2022-12-29,,https://s.cafef.vn/upcom/AFX-cong-ty-co-phan-xuat-nhap-khau-nong-san-thuc-pham-an-giang.chn,
"http://s.cafef.vn/upcom/AG1-cong-ty-co-phan-281.chn,CenterName:UpCom,Symbol:AG1,TradeCenterID:9,ChangePrice:-7.6923076923076987,VonHoa:23.3442528,ChangeVolume:-100,EPS:-2.67666925718008,PE:-1.79327348237895,Beta:0,Price:4.8,UpdatedDate:\/Date(1671780312384)\/,FullName:Cong ty Cỏ phàn 28.1,ParentCategoryId:339},",upcom/AG1-cong-ty-co-phan-281.chn,AG1,UPC,339,Cong ty Cỏ phàn 28.1,CAF,STKVNAG1,2022-12-30,2022-12-29,,https://s.cafef.vn/upcom/AG1-cong-ty-co-phan-281.chn,
"http://s.cafef.vn/upcom/AGE-cong-ty-co-phan-moi-truong-do-thi-an-giang.chn,CenterName:UpCom,Symbol:AGE,TradeCenterID:9,ChangePrice:0,VonHoa:258.609,ChangeVolume:0,EPS:0.948783482431006,PE:13.7017562391484,Beta:0,Price:13,UpdatedDate:\/Date(1671780312384)\/,FullName:Cong ty co phan Moi truong Đo thi An Giang,ParentCategoryId:346},",upcom/AGE-cong-ty-co-phan-moi-truong-do-thi-an-giang.chn,AGE,UPC,346,Cong ty co phan Moi truong Đo thi An Giang,CAF,STKVNAGE,2022-12-30,2022-12-29,,https://s.cafef.vn/upcom/AGE-cong-ty-co-phan-moi-truong-do-thi-an-giang.chn,
"http://s.cafef.vn/upcom/AGF-cong-ty-co-phan-xuat-nhap-khau-thuy-san-an-giang.chn,CenterName:UpCom,Symbol:AGF,TradeCenterID:9,ChangePrice:0,VonHoa:61.8414346,ChangeVolume:400,EPS:-0.845484799060596,PE:-2.60205742604052,Beta:0.272362652737618,Price:2.2,UpdatedDate:\/Date(1671780312384)\/,FullName:Cong ty Co phan Xuat nhap khau Thuy san An Giang,ParentCategoryId:338},",upcom/AGF-cong-ty-co-phan-xuat-nhap-khau-thuy-san-an-giang.chn,AGF,UPC,338,Cong ty Co phan Xuat nhap khau Thuy san An Giang,CAF,STKVNAGF,2022-12-30,2022-12-29,,https://s.cafef.vn/upcom/AGF-cong-ty-co-phan-xuat-nhap-khau-thuy-san-an-giang.chn,
"http://s.cafef.vn/hose/AGG-cong-ty-co-phan-dau-tu-va-phat-trien-bat-dong-san-an-gia.chn,CenterName:HSX,Symbol:AGG,TradeCenterID:1,ChangePrice:-3.0794165316045472,VonHoa:3741.0392032,ChangeVolume:-66.097374458322719,EPS:3.07385358607905,PE:9.7272037078838,Beta:0,Price:29.9,UpdatedDate:\/Date(1671780312384)\/,FullName:Cong ty Co phan Đau tu va Phat trien Bat dong san An Gia,ParentCategoryId:345},",hose/AGG-cong-ty-co-phan-dau-tu-va-phat-trien-bat-dong-san-an-gia.chn,AGG,HSX,345,Cong ty Co phan Đau tu va Phat trien Bat dong san An Gia,CAF,STKVNAGG,2022-12-30,2022-12-29,,https://s.cafef.vn/hose/AGG-cong-ty-co-phan-dau-tu-va-phat-trien-bat-dong-san-an-gia.chn,
"http://s.cafef.vn/hose/AGM-cong-ty-co-phan-xuat-nhap-khau-an-giang.chn,CenterName:HSX,Symbol:AGM,TradeCenterID:1,ChangePrice:-14.545454545454541,VonHoa:171.08,ChangeVolume:346.12914734213342,EPS:-0.510405040659341,PE:-18.4167460177452,Beta:0.743307527282903,Price:9.4,UpdatedDate:\/Date(1671780312384)\/,FullName:Cong ty co phan Xuat nhap khau An Giang,ParentCategoryId:338},",hose/AGM-cong-ty-co-phan-xuat-nhap-khau-an-giang.chn,AGM,HSX,338,Cong ty co phan Xuat nhap khau An Giang,CAF,STKVNAGM,2022-12-30,2022-12-29,,https://s.cafef.vn/hose/AGM-cong-ty-co-phan-xuat-nhap-khau-an-giang.chn,
