V1,link,ticker,market,parentid,fullname,source,code,updates,date,updated,URL,ticker
"http://s.cafef.vn/upcom/MGG-tong-cong-ty-duc-giang-cong-ty-co-phan.chn,CenterName:UpCom,Symbol:MGG,TradeCenterID:9,ChangePrice:-12.420382165605091,VonHoa:247.489605,ChangeVolume:108.70409318880441,EPS:3.10357707545939,PE:8.86074337172034,Beta:0,Price:27.5,UpdatedDate:\/Date(1671780312385)\/,FullName:Tong Cong ty Đuc Giang - Cong ty Co phan,ParentCategoryId:339},",upcom/MGG-tong-cong-ty-duc-giang-cong-ty-co-phan.chn,MGG,UPC,339,Tong Cong ty Đuc Giang - Cong ty Co phan,CAF,STKVNMGG,2022-12-30,2022-12-29,,https://s.cafef.vn/upcom/MGG-tong-cong-ty-duc-giang-cong-ty-co-phan.chn,
"http://s.cafef.vn/upcom/MGR-cong-ty-co-phan-tap-doan-mgroup.chn,CenterName:UpCom,Symbol:MGR,TradeCenterID:9,ChangePrice:0,VonHoa:150,ChangeVolume:400,EPS:-0.7900818767,PE:-9.49268705077234,Beta:0,Price:7.5,UpdatedDate:\/Date(1671780312385)\/,FullName:Cong ty co phan Tap doan Mgroup,ParentCategoryId:345},",upcom/MGR-cong-ty-co-phan-tap-doan-mgroup.chn,MGR,UPC,345,Cong ty co phan Tap doan Mgroup,CAF,STKVNMGR,2022-12-30,2022-12-29,,https://s.cafef.vn/upcom/MGR-cong-ty-co-phan-tap-doan-mgroup.chn,
"http://s.cafef.vn/upcom/MH3-cong-ty-co-phan-khu-cong-nghiep-cao-su-binh-long.chn,CenterName:UpCom,Symbol:MH3,TradeCenterID:9,ChangePrice:0,VonHoa:480,ChangeVolume:0,EPS:3.45562692683333,PE:11.5753236234489,Beta:0,Price:40,UpdatedDate:\/Date(1671780312385)\/,FullName:Cong ty Co phan Khu cong nghiep Cao Su Binh Long,ParentCategoryId:345},",upcom/MH3-cong-ty-co-phan-khu-cong-nghiep-cao-su-binh-long.chn,MH3,UPC,345,Cong ty Co phan Khu cong nghiep Cao Su Binh Long,CAF,STKVNMH3,2022-12-30,2022-12-29,,https://s.cafef.vn/upcom/MH3-cong-ty-co-phan-khu-cong-nghiep-cao-su-binh-long.chn,
"http://s.cafef.vn/hose/MHC-cong-ty-co-phan-mhc.chn,CenterName:HSX,Symbol:MHC,TradeCenterID:1,ChangePrice:-4.08653846153846,VonHoa:165.21330756,ChangeVolume:8.9138134592680043,EPS:-1.88528324641211,PE:-2.11639285905361,Beta:0.74983676895812,Price:3.99,UpdatedDate:\/Date(1671780312385)\/,FullName:Cong ty Co phan MHC,ParentCategoryId:343},",hose/MHC-cong-ty-co-phan-mhc.chn,MHC,HSX,343,Cong ty Co phan MHC,CAF,STKVNMHC,2022-12-30,2022-12-29,,https://s.cafef.vn/hose/MHC-cong-ty-co-phan-mhc.chn,
"http://s.cafef.vn/hastc/MHL-cong-ty-co-phan-minh-huu-lien.chn,CenterName:HNX,Symbol:MHL,TradeCenterID:2,ChangePrice:-1.4084507042253471,VonHoa:37.020361,ChangeVolume:-100,EPS:4.31595201510866,PE:1.62189013582529,Beta:0.115414950486373,Price:7,UpdatedDate:\/Date(1671780312385)\/,FullName:Cong ty Co phan Minh Huu Lien,ParentCategoryId:339},",hastc/MHL-cong-ty-co-phan-minh-huu-lien.chn,MHL,HNX,339,Cong ty Co phan Minh Huu Lien,CAF,STKVNMHL,2022-12-30,2022-12-29,,https://s.cafef.vn/hastc/MHL-cong-ty-co-phan-minh-huu-lien.chn,
"http://s.cafef.vn/upcom/MIC-cong-ty-co-phan-ky-nghe-khoang-san-quang-nam.chn,CenterName:UpCom,Symbol:MIC,TradeCenterID:9,ChangePrice:28.28282828282827,VonHoa:70.7837167,ChangeVolume:-100,EPS:0.75953779110189,PE:16.7206953344291,Beta:-0.782777777777778,Price:12.7,UpdatedDate:\/Date(1671780312385)\/,FullName:Cong ty Co phan Ky nghe Khoang san Quang Nam,ParentCategoryId:344},",upcom/MIC-cong-ty-co-phan-ky-nghe-khoang-san-quang-nam.chn,MIC,UPC,344,Cong ty Co phan Ky nghe Khoang san Quang Nam,CAF,STKVNMIC,2022-12-30,2022-12-29,,https://s.cafef.vn/upcom/MIC-cong-ty-co-phan-ky-nghe-khoang-san-quang-nam.chn,
"http://s.cafef.vn/upcom/MIE-tong-cong-ty-may-va-thiet-bi-cong-nghiep-ctcp.chn,CenterName:UpCom,Symbol:MIE,TradeCenterID:9,ChangePrice:0,VonHoa:1874.2878,ChangeVolume:0,EPS:0.204670468330851,PE:64.4939160380585,Beta:0,Price:13.2,UpdatedDate:\/Date(1671780312385)\/,FullName:Tong Cong ty May va Thiet bi Cong nghiep - CTCP,ParentCategoryId:343},",upcom/MIE-tong-cong-ty-may-va-thiet-bi-cong-nghiep-ctcp.chn,MIE,UPC,343,Tong Cong ty May va Thiet bi Cong nghiep - CTCP,CAF,STKVNMIE,2022-12-30,2022-12-29,,https://s.cafef.vn/upcom/MIE-tong-cong-ty-may-va-thiet-bi-cong-nghiep-ctcp.chn,
"http://s.cafef.vn/hose/MIG-tong-cong-ty-co-phan-bao-hiem-quan-doi.chn,CenterName:HSX,Symbol:MIG,TradeCenterID:1,ChangePrice:-1.8927444794952615,VonHoa:2557.1975,ChangeVolume:-39.198569378103024,EPS:1.28583168744299,PE:12.0933401718562,Beta:0,Price:15.55,UpdatedDate:\/Date(1671780312385)\/,FullName:Tong Cong ty co phan Bao hiem Quan doi,ParentCategoryId:341},",hose/MIG-tong-cong-ty-co-phan-bao-hiem-quan-doi.chn,MIG,HSX,341,Tong Cong ty co phan Bao hiem Quan doi,CAF,STKVNMIG,2022-12-30,2022-12-29,,https://s.cafef.vn/hose/MIG-tong-cong-ty-co-phan-bao-hiem-quan-doi.chn,
"http://s.cafef.vn/hastc/MIM-cong-ty-co-phan-khoang-san-va-co-khi.chn,CenterName:HNX,Symbol:MIM,TradeCenterID:2,ChangePrice:0,VonHoa:14.321412,ChangeVolume:0,EPS:-2.86473545160212,PE:-1.46610396350949,Beta:0.0935939006222066,Price:4.2,UpdatedDate:\/Date(1671780312385)\/,FullName:Cong ty Co phan Khoang san va Co khi,ParentCategoryId:344},",hastc/MIM-cong-ty-co-phan-khoang-san-va-co-khi.chn,MIM,HNX,344,Cong ty Co phan Khoang san va Co khi,CAF,STKVNMIM,2022-12-30,2022-12-29,,https://s.cafef.vn/hastc/MIM-cong-ty-co-phan-khoang-san-va-co-khi.chn,
"http://s.cafef.vn/upcom/MKP-cong-ty-co-phan-hoa-duoc-pham-mekophar.chn,CenterName:UpCom,Symbol:MKP,TradeCenterID:9,ChangePrice:0.38314176245209913,VonHoa:662.0273902,ChangeVolume:-21.534371439422713,EPS:1.18126965855649,PE:22.1795250645956,Beta:0.249728791494901,Price:26.2,UpdatedDate:\/Date(1671780312385)\/,FullName:Cong ty Co phan Hoa - Duoc pham Mekophar,ParentCategoryId:342},",upcom/MKP-cong-ty-co-phan-hoa-duoc-pham-mekophar.chn,MKP,UPC,342,Cong ty Co phan Hoa - Duoc pham Mekophar,CAF,STKVNMKP,2022-12-30,2022-12-29,,https://s.cafef.vn/upcom/MKP-cong-ty-co-phan-hoa-duoc-pham-mekophar.chn,
"http://s.cafef.vn/hastc/MKV-cong-ty-co-phan-duoc-thu-y-cai-lay.chn,CenterName:HNX,Symbol:MKV,TradeCenterID:2,ChangePrice:0,VonHoa:55.000418,ChangeVolume:0,EPS:1.30624295815352,PE:8.42109802876902,Beta:-0.0384648260535088,Price:11,UpdatedDate:\/Date(1671780312385)\/,FullName:Cong ty Co phan Duoc Thu y Cai Lay,ParentCategoryId:338},",hastc/MKV-cong-ty-co-phan-duoc-thu-y-cai-lay.chn,MKV,HNX,338,Cong ty Co phan Duoc Thu y Cai Lay,CAF,STKVNMKV,2022-12-30,2022-12-29,,https://s.cafef.vn/hastc/MKV-cong-ty-co-phan-duoc-thu-y-cai-lay.chn,
"http://s.cafef.vn/upcom/MLC-cong-ty-co-phan-moi-truong-do-thi-tinh-lao-cai.chn,CenterName:UpCom,Symbol:MLC,TradeCenterID:9,ChangePrice:0,VonHoa:18.7702875,ChangeVolume:0,EPS:2.27454171042932,PE:1.97842052285365,Beta:0,Price:4.5,UpdatedDate:\/Date(1671780312385)\/,FullName:Cong ty Co phan Moi truong Đo thi Tinh Lao Cai,ParentCategoryId:346},",upcom/MLC-cong-ty-co-phan-moi-truong-do-thi-tinh-lao-cai.chn,MLC,UPC,346,Cong ty Co phan Moi truong Đo thi Tinh Lao Cai,CAF,STKVNMLC,2022-12-30,2022-12-29,,https://s.cafef.vn/upcom/MLC-cong-ty-co-phan-moi-truong-do-thi-tinh-lao-cai.chn,
"http://s.cafef.vn/upcom/MLS-cong-ty-co-phan-chan-nuoi-mitraco.chn,CenterName:UpCom,Symbol:MLS,TradeCenterID:9,ChangePrice:1.6666666666666607,VonHoa:48.8,ChangeVolume:-41.860465116279073,EPS:2.16246064775,PE:5.64172116273832,Beta:0,Price:12.2,UpdatedDate:\/Date(1671780312385)\/,FullName:Cong ty co phan Chan nuoi - Mitraco,ParentCategoryId:338},",upcom/MLS-cong-ty-co-phan-chan-nuoi-mitraco.chn,MLS,UPC,338,Cong ty co phan Chan nuoi - Mitraco,CAF,STKVNMLS,2022-12-30,2022-12-29,,https://s.cafef.vn/upcom/MLS-cong-ty-co-phan-chan-nuoi-mitraco.chn,
"http://s.cafef.vn/upcom/MML-cong-ty-co-phan-masan-meatlife.chn,CenterName:UpCom,Symbol:MML,TradeCenterID:9,ChangePrice:-7.6517150395778337,VonHoa:11449.6529,ChangeVolume:196.70714619336758,EPS:2.82870538365795,PE:12.3731514077792,Beta:0,Price:35,UpdatedDate:\/Date(1671780312385)\/,FullName:Cong ty Co phan Masan MEATLife,ParentCategoryId:339},",upcom/MML-cong-ty-co-phan-masan-meatlife.chn,MML,UPC,339,Cong ty Co phan Masan MEATLife,CAF,STKVNMML,2022-12-30,2022-12-29,,https://s.cafef.vn/upcom/MML-cong-ty-co-phan-masan-meatlife.chn,
"http://s.cafef.vn/upcom/MNB-tong-cong-ty-may-nha-be-cong-ty-co-phan.chn,CenterName:UpCom,Symbol:MNB,TradeCenterID:9,ChangePrice:0,VonHoa:429.975,ChangeVolume:400,EPS:4.20075585269231,PE:5.35617893279361,Beta:0,Price:22.5,UpdatedDate:\/Date(1671780312385)\/,FullName:Tong Cong ty May Nha Be - Cong ty Co phan,ParentCategoryId:339},",upcom/MNB-tong-cong-ty-may-nha-be-cong-ty-co-phan.chn,MNB,UPC,339,Tong Cong ty May Nha Be - Cong ty Co phan,CAF,STKVNMNB,2022-12-30,2022-12-29,,https://s.cafef.vn/upcom/MNB-tong-cong-ty-may-nha-be-cong-ty-co-phan.chn,
"http://s.cafef.vn/upcom/MND-cong-ty-co-phan-moi-truong-nam-dinh.chn,CenterName:UpCom,Symbol:MND,TradeCenterID:9,ChangePrice:0,VonHoa:20.628065,ChangeVolume:0,EPS:0.984730908759498,PE:9.54575500411734,Beta:0,Price:9.4,UpdatedDate:\/Date(1671780312385)\/,FullName:Cong ty Co phan Moi truong Nam Đinh,ParentCategoryId:346},",upcom/MND-cong-ty-co-phan-moi-truong-nam-dinh.chn,MND,UPC,346,Cong ty Co phan Moi truong Nam Đinh,CAF,STKVNMND,2022-12-30,2022-12-29,,https://s.cafef.vn/upcom/MND-cong-ty-co-phan-moi-truong-nam-dinh.chn,
"http://s.cafef.vn/upcom/MPC-cong-ty-co-phan-tap-doan-thuy-san-minh-phu.chn,CenterName:UpCom,Symbol:MPC,TradeCenterID:9,ChangePrice:-2.2598870056497096,VonHoa:6918.05029,ChangeVolume:-72.442339814070152,EPS:1.48169792388071,PE:11.6757941825886,Beta:0.43148959985076,Price:17.3,UpdatedDate:\/Date(1671780312385)\/,FullName:Cong ty Co phan Tap doan Thuy san Minh Phu,ParentCategoryId:338},",upcom/MPC-cong-ty-co-phan-tap-doan-thuy-san-minh-phu.chn,MPC,UPC,338,Cong ty Co phan Tap doan Thuy san Minh Phu,CAF,STKVNMPC,2022-12-30,2022-12-29,,https://s.cafef.vn/upcom/MPC-cong-ty-co-phan-tap-doan-thuy-san-minh-phu.chn,
"http://s.cafef.vn/upcom/MPT-cong-ty-co-phan-tap-doan-truong-tien.chn,CenterName:UpCom,Symbol:MPT,TradeCenterID:9,ChangePrice:0,VonHoa:17.107164,ChangeVolume:400,EPS:0.0946962874734819,PE:10.5600760777452,Beta:0,Price:1,UpdatedDate:\/Date(1671780312385)\/,FullName:Cong ty co phan Tap doan Truong Tien,ParentCategoryId:339},",upcom/MPT-cong-ty-co-phan-tap-doan-truong-tien.chn,MPT,UPC,339,Cong ty co phan Tap doan Truong Tien,CAF,STKVNMPT,2022-12-30,2022-12-29,,https://s.cafef.vn/upcom/MPT-cong-ty-co-phan-tap-doan-truong-tien.chn,
"http://s.cafef.vn/upcom/MPY-cong-ty-co-phan-moi-truong-do-thi-phu-yen.chn,CenterName:UpCom,Symbol:MPY,TradeCenterID:9,ChangePrice:0,VonHoa:39.3152,ChangeVolume:0,EPS:1.07322893830376,PE:5.96331292567941,Beta:0,Price:6.4,UpdatedDate:\/Date(1671780312385)\/,FullName:Cong ty Co phan Moi truong Đo thi Phu Yen,ParentCategoryId:346},",upcom/MPY-cong-ty-co-phan-moi-truong-do-thi-phu-yen.chn,MPY,UPC,346,Cong ty Co phan Moi truong Đo thi Phu Yen,CAF,STKVNMPY,2022-12-30,2022-12-29,,https://s.cafef.vn/upcom/MPY-cong-ty-co-phan-moi-truong-do-thi-phu-yen.chn,
"http://s.cafef.vn/upcom/MQB-cong-ty-co-phan-moi-truong-va-phat-trien-do-thi-quang-binh.chn,CenterName:UpCom,Symbol:MQB,TradeCenterID:9,ChangePrice:0,VonHoa:34.1837775,ChangeVolume:0,EPS:0.737061169989186,PE:12.6176773091119,Beta:0,Price:9.3,UpdatedDate:\/Date(1671780312385)\/,FullName:Cong ty Co phan Moi truong va phat trien Đo thi Quang Binh,ParentCategoryId:346},",upcom/MQB-cong-ty-co-phan-moi-truong-va-phat-trien-do-thi-quang-binh.chn,MQB,UPC,346,Cong ty Co phan Moi truong va phat trien Đo thi Quang Binh,CAF,STKVNMQB,2022-12-30,2022-12-29,,https://s.cafef.vn/upcom/MQB-cong-ty-co-phan-moi-truong-va-phat-trien-do-thi-quang-binh.chn,
"http://s.cafef.vn/upcom/MQN-cong-ty-co-phan-moi-truong-do-thi-quang-ngai.chn,CenterName:UpCom,Symbol:MQN,TradeCenterID:9,ChangePrice:-2.1739130434782608,VonHoa:93.0070125,ChangeVolume:150,EPS:4.76939747626231,PE:4.71757703399316,Beta:0,Price:22.5,UpdatedDate:\/Date(1671780312385)\/,FullName:Cong ty Co phan Moi truong do thi Quang Ngai,ParentCategoryId:346},",upcom/MQN-cong-ty-co-phan-moi-truong-do-thi-quang-ngai.chn,MQN,UPC,346,Cong ty Co phan Moi truong do thi Quang Ngai,CAF,STKVNMQN,2022-12-30,2022-12-29,,https://s.cafef.vn/upcom/MQN-cong-ty-co-phan-moi-truong-do-thi-quang-ngai.chn,
"http://s.cafef.vn/upcom/MRF-cong-ty-co-phan-merufa.chn,CenterName:UpCom,Symbol:MRF,TradeCenterID:9,ChangePrice:0,VonHoa:75.7133224,ChangeVolume:0,EPS:6.45471474510013,PE:3.191465589651,Beta:0,Price:20.6,UpdatedDate:\/Date(1671780312385)\/,FullName:Cong ty co phan Merufa,ParentCategoryId:342},",upcom/MRF-cong-ty-co-phan-merufa.chn,MRF,UPC,342,Cong ty co phan Merufa,CAF,STKVNMRF,2022-12-30,2022-12-29,,https://s.cafef.vn/upcom/MRF-cong-ty-co-phan-merufa.chn,
"http://s.cafef.vn/hose/MSB-ngan-hang-thuong-mai-co-phan-hang-hai-viet-nam.chn,CenterName:HSX,Symbol:MSB,TradeCenterID:1,ChangePrice:-4.5627376425855486,VonHoa:25100,ChangeVolume:95.599264509533143,EPS:2.31145984811784,PE:5.42946917733359,Beta:0,Price:12.55,UpdatedDate:\/Date(1671780312385)\/,FullName:Ngan hang Thuong mai co phan Hang hai Viet Nam,ParentCategoryId:341},",hose/MSB-ngan-hang-thuong-mai-co-phan-hang-hai-viet-nam.chn,MSB,HSX,341,Ngan hang Thuong mai co phan Hang hai Viet Nam,CAF,STKVNMSB,2022-12-30,2022-12-29,,https://s.cafef.vn/hose/MSB-ngan-hang-thuong-mai-co-phan-hang-hai-viet-nam.chn,
"http://s.cafef.vn/hose/MSH-cong-ty-co-phan-may-song-hong.chn,CenterName:HSX,Symbol:MSH,TradeCenterID:1,ChangePrice:-6.12244897959182,VonHoa:2415.45402,ChangeVolume:7.934163325596117,EPS:5.41523748227333,PE:5.94618428192781,Beta:0,Price:32.2,UpdatedDate:\/Date(1671780312385)\/,FullName:Cong ty co phan May Song Hong,ParentCategoryId:339},",hose/MSH-cong-ty-co-phan-may-song-hong.chn,MSH,HSX,339,Cong ty co phan May Song Hong,CAF,STKVNMSH,2022-12-30,2022-12-29,,https://s.cafef.vn/hose/MSH-cong-ty-co-phan-may-song-hong.chn,
"http://s.cafef.vn/hose/MSN-cong-ty-co-phan-tap-doan-masan.chn,CenterName:HSX,Symbol:MSN,TradeCenterID:1,ChangePrice:0.96256684491979227,VonHoa:134399.6195152,ChangeVolume:145.12951276783093,EPS:6.73536410432046,PE:14.0155748876956,Beta:0.676615987314616,Price:94.4,UpdatedDate:\/Date(1671780312385)\/,FullName:Cong ty Co phan Tap doan MaSan,ParentCategoryId:341},",hose/MSN-cong-ty-co-phan-tap-doan-masan.chn,MSN,HSX,341,Cong ty Co phan Tap doan MaSan,CAF,STKVNMSN,2022-12-30,2022-12-29,,https://s.cafef.vn/hose/MSN-cong-ty-co-phan-tap-doan-masan.chn,
"http://s.cafef.vn/upcom/MSR-cong-ty-co-phan-masan-hightech-materials.chn,CenterName:UpCom,Symbol:MSR,TradeCenterID:9,ChangePrice:-10.236220472440936,VonHoa:12530.371788,ChangeVolume:102.57028348283102,EPS:0.714478782263567,PE:15.955687254817,Beta:0,Price:11.4,UpdatedDate:\/Date(1671780312385)\/,FullName:Cong ty co phan Masan High-Tech Materials,ParentCategoryId:344},",upcom/MSR-cong-ty-co-phan-masan-hightech-materials.chn,MSR,UPC,344,Cong ty co phan Masan High-Tech Materials,CAF,STKVNMSR,2022-12-30,2022-12-29,,https://s.cafef.vn/upcom/MSR-cong-ty-co-phan-masan-hightech-materials.chn,
"http://s.cafef.vn/hastc/MST-cong-ty-co-phan-dau-tu-mst.chn,CenterName:HNX,Symbol:MST,TradeCenterID:2,ChangePrice:-14.000000000000004,VonHoa:293.0049713,ChangeVolume:21.748062046069286,EPS:1.68544280305011,PE:2.55125833532789,Beta:0,Price:4.3,UpdatedDate:\/Date(1671780312385)\/,FullName:Cong ty Co phan Đau tu MST,ParentCategoryId:0},",hastc/MST-cong-ty-co-phan-dau-tu-mst.chn,MST,HNX,0,Cong ty Co phan Đau tu MST,CAF,STKVNMST,2022-12-30,2022-12-29,,https://s.cafef.vn/hastc/MST-cong-ty-co-phan-dau-tu-mst.chn,
"http://s.cafef.vn/upcom/MTA-tong-cong-ty-khoang-san-va-thuong-mai-ha-tinh-ctcp.chn,CenterName:UpCom,Symbol:MTA,TradeCenterID:9,ChangePrice:-2.0833333333333259,VonHoa:517.5338777,ChangeVolume:11.111111111111111,EPS:-0.27842848387353,PE:-16.880456821849,Beta:0,Price:4.7,UpdatedDate:\/Date(1671780312385)\/,FullName:Tong Cong ty Khoang san va Thuong mai Ha Tinh - CTCP,ParentCategoryId:344},",upcom/MTA-tong-cong-ty-khoang-san-va-thuong-mai-ha-tinh-ctcp.chn,MTA,UPC,344,Tong Cong ty Khoang san va Thuong mai Ha Tinh - CTCP,CAF,STKVNMTA,2022-12-30,2022-12-29,,https://s.cafef.vn/upcom/MTA-tong-cong-ty-khoang-san-va-thuong-mai-ha-tinh-ctcp.chn,
"http://s.cafef.vn/upcom/MTB-ctcp-moi-truong-va-cong-trinh-do-thi-tinh-thai-binh.chn,CenterName:UpCom,Symbol:MTB,TradeCenterID:9,ChangePrice:0,VonHoa:0,ChangeVolume:0,EPS:0.274649170892759,PE:26.9434638231238,Beta:0,Price:7.4,UpdatedDate:\/Date(1671780312385)\/,FullName:CTCP Moi truong va Cong trinh Đo thi tinh Thai Binh,ParentCategoryId:346},",upcom/MTB-ctcp-moi-truong-va-cong-trinh-do-thi-tinh-thai-binh.chn,MTB,UPC,346,CTCP Moi truong va Cong trinh Đo thi tinh Thai Binh,CAF,STKVNMTB,2022-12-30,2022-12-29,,https://s.cafef.vn/upcom/MTB-ctcp-moi-truong-va-cong-trinh-do-thi-tinh-thai-binh.chn,
"http://s.cafef.vn/upcom/MTC-ctcp-dich-vu-du-lich-my-tra.chn,CenterName:UpCom,Symbol:MTC,TradeCenterID:9,ChangePrice:0,VonHoa:40.8035,ChangeVolume:0,EPS:-0.644348328944821,PE:-12.2604492711838,Beta:0,Price:7.9,UpdatedDate:\/Date(1671780312385)\/,FullName:CTCP Dich vu Du lich My Tra,ParentCategoryId:346},",upcom/MTC-ctcp-dich-vu-du-lich-my-tra.chn,MTC,UPC,346,CTCP Dich vu Du lich My Tra,CAF,STKVNMTC,2022-12-30,2022-12-29,,https://s.cafef.vn/upcom/MTC-ctcp-dich-vu-du-lich-my-tra.chn,
"http://s.cafef.vn/upcom/MTG-cong-ty-co-phan-mt-gas.chn,CenterName:UpCom,Symbol:MTG,TradeCenterID:9,ChangePrice:24.999999999999996,VonHoa:56.7,ChangeVolume:-31.347254004576659,EPS:0.177548969365079,PE:50.6902407385651,Beta:0.635388489879675,Price:9,UpdatedDate:\/Date(1671780312385)\/,FullName:Cong ty Co phan MT Gas,ParentCategoryId:340},",upcom/MTG-cong-ty-co-phan-mt-gas.chn,MTG,UPC,340,Cong ty Co phan MT Gas,CAF,STKVNMTG,2022-12-30,2022-12-29,,https://s.cafef.vn/upcom/MTG-cong-ty-co-phan-mt-gas.chn,
"http://s.cafef.vn/upcom/MTH-cong-ty-co-phan-moi-truong-do-thi-ha-dong.chn,CenterName:UpCom,Symbol:MTH,TradeCenterID:9,ChangePrice:0,VonHoa:138.370599,ChangeVolume:0,EPS:1.77827655156425,PE:16.2516904215929,Beta:-0.0264905762085363,Price:28.9,UpdatedDate:\/Date(1671780312385)\/,FullName:Cong ty Co phan Moi truong Đo thi Ha Đong,ParentCategoryId:346},",upcom/MTH-cong-ty-co-phan-moi-truong-do-thi-ha-dong.chn,MTH,UPC,346,Cong ty Co phan Moi truong Đo thi Ha Đong,CAF,STKVNMTH,2022-12-30,2022-12-29,,https://s.cafef.vn/upcom/MTH-cong-ty-co-phan-moi-truong-do-thi-ha-dong.chn,
"http://s.cafef.vn/upcom/MTL-ctcp-dich-vu-moi-truong-do-thi-tu-liem.chn,CenterName:UpCom,Symbol:MTL,TradeCenterID:9,ChangePrice:-4.8780487804877986,VonHoa:23.4,ChangeVolume:25,EPS:0.0259639078333333,PE:150.208513488599,Beta:0,Price:3.9,UpdatedDate:\/Date(1671780312385)\/,FullName:CTCP Dich vu Moi truong Đo thi Tu Liem,ParentCategoryId:346},",upcom/MTL-ctcp-dich-vu-moi-truong-do-thi-tu-liem.chn,MTL,UPC,346,CTCP Dich vu Moi truong Đo thi Tu Liem,CAF,STKVNMTL,2022-12-30,2022-12-29,,https://s.cafef.vn/upcom/MTL-ctcp-dich-vu-moi-truong-do-thi-tu-liem.chn,
"http://s.cafef.vn/upcom/MTP-cong-ty-co-phan-duoc-medipharco.chn,CenterName:UpCom,Symbol:MTP,TradeCenterID:9,ChangePrice:-15.30612244897959,VonHoa:61.8416898,ChangeVolume:-100,EPS:1.74623929698608,PE:4.75307136560573,Beta:-0.024440251814489,Price:8.3,UpdatedDate:\/Date(1671780312385)\/,FullName:Cong ty Co phan Duoc Medipharco,ParentCategoryId:342},",upcom/MTP-cong-ty-co-phan-duoc-medipharco.chn,MTP,UPC,342,Cong ty Co phan Duoc Medipharco,CAF,STKVNMTP,2022-12-30,2022-12-29,,https://s.cafef.vn/upcom/MTP-cong-ty-co-phan-duoc-medipharco.chn,
"http://s.cafef.vn/upcom/MTS-cong-ty-co-phan-vat-tu-tkv.chn,CenterName:UpCom,Symbol:MTS,TradeCenterID:9,ChangePrice:0,VonHoa:190.5,ChangeVolume:0,EPS:1.42591738706667,PE:8.90654684148699,Beta:0,Price:12.7,UpdatedDate:\/Date(1671780312385)\/,FullName:Cong ty co phan Vat tu - TKV,ParentCategoryId:344},",upcom/MTS-cong-ty-co-phan-vat-tu-tkv.chn,MTS,UPC,344,Cong ty co phan Vat tu - TKV,CAF,STKVNMTS,2022-12-30,2022-12-29,,https://s.cafef.vn/upcom/MTS-cong-ty-co-phan-vat-tu-tkv.chn,
"http://s.cafef.vn/upcom/MTV-cong-ty-co-phan-dich-vu-moi-truong-va-cong-trinh-do-thi-vung-tau.chn,CenterName:UpCom,Symbol:MTV,TradeCenterID:9,ChangePrice:0,VonHoa:102.6,ChangeVolume:0,EPS:2.10134024722222,PE:9.0418484227465,Beta:0,Price:19,UpdatedDate:\/Date(1671780312385)\/,FullName:Cong ty Co phan Dich vu Moi truong va Cong trinh Đo thi Vung Tau,ParentCategoryId:346},",upcom/MTV-cong-ty-co-phan-dich-vu-moi-truong-va-cong-trinh-do-thi-vung-tau.chn,MTV,UPC,346,Cong ty Co phan Dich vu Moi truong va Cong trinh Đo thi Vung Tau,CAF,STKVNMTV,2022-12-30,2022-12-29,,https://s.cafef.vn/upcom/MTV-cong-ty-co-phan-dich-vu-moi-truong-va-cong-trinh-do-thi-vung-tau.chn,
"http://s.cafef.vn/hastc/MVB-tong-cong-ty-cong-nghiep-mo-viet-bac-tkv-ctcp.chn,CenterName:HNX,Symbol:MVB,TradeCenterID:2,ChangePrice:9.09090909090908,VonHoa:2016,ChangeVolume:25,EPS:1.24455120534286,PE:15.4272479248539,Beta:0,Price:19.2,UpdatedDate:\/Date(1671780312385)\/,FullName:Tong cong ty Cong nghiep mo Viet Bac TKV - CTCP,ParentCategoryId:344},",hastc/MVB-tong-cong-ty-cong-nghiep-mo-viet-bac-tkv-ctcp.chn,MVB,HNX,344,Tong cong ty Cong nghiep mo Viet Bac TKV - CTCP,CAF,STKVNMVB,2022-12-30,2022-12-29,,https://s.cafef.vn/hastc/MVB-tong-cong-ty-cong-nghiep-mo-viet-bac-tkv-ctcp.chn,
"http://s.cafef.vn/upcom/MVC-cong-ty-co-phan-vat-lieu-va-xay-dung-binh-duong.chn,CenterName:UpCom,Symbol:MVC,TradeCenterID:9,ChangePrice:0,VonHoa:520,ChangeVolume:15.313653136531366,EPS:-0.51825845217,PE:-10.0336038480937,Beta:0,Price:5.2,UpdatedDate:\/Date(1671780312385)\/,FullName:Cong ty Co phan Vat lieu va Xay dung Binh Duong,ParentCategoryId:345},",upcom/MVC-cong-ty-co-phan-vat-lieu-va-xay-dung-binh-duong.chn,MVC,UPC,345,Cong ty Co phan Vat lieu va Xay dung Binh Duong,CAF,STKVNMVC,2022-12-30,2022-12-29,,https://s.cafef.vn/upcom/MVC-cong-ty-co-phan-vat-lieu-va-xay-dung-binh-duong.chn,
